id,name,image,preview,duration,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,chord,published
6hmhG1b4LEyNuashVvuIAo,Never Forget You,https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3,https://p.scdn.co/mp3-preview/ee5474924adea2b97280f2000afdf50eda3f6e4d?cid=9950ac751e34487dbbe027c4fd7f8e99,213427,0,76,0.583,0.732,-5.728,0.0457,0.00312,0.00000986,0.269,0.276,145.992,11,2017-03-17
6WLS56xiRrXjSm9RSdL3zD,Never Forget You,https://i.scdn.co/image/ab67616d0000b2736fe5072e9b91105ca3fa8091,,213427,0,0,0.583,0.732,-5.728,0.0457,0.00312,0.00000986,0.269,0.276,145.992,11,2015-09-10
4Xgr8IWwGSGyqLjwiwOxqk,Walking On The Moon - Remastered 2003,https://i.scdn.co/image/ab67616d0000b273abc86ca2136f79ccc8c054cc,,300826,0,0,0.514,0.34,-12.779,0.0537,0.00142,0.0173,0.213,0.269,145.992,0,1979-10-02
5TnkpUQB46cLVuHfuPBiZw,Real Wild Child (Wild One),https://i.scdn.co/image/ab67616d0000b27357ebfccbef07ebff2a495843,https://p.scdn.co/mp3-preview/9b4a555d54199023e64856f7076e4102b220a218?cid=9950ac751e34487dbbe027c4fd7f8e99,219693,0,36,0.494,0.96,-4.032,0.0488,0.0148,0.063,0.259,0.928,145.98,4,2005-07-19
5Sgow6NGwGQG5YksRMlooH,Boys Like You (feat. Gossling),https://i.scdn.co/image/ab67616d0000b273f5cff385867da266b0049426,https://p.scdn.co/mp3-preview/3367ed246790bcc007b96b13b5b802bf7a6c4cb0?cid=9950ac751e34487dbbe027c4fd7f8e99,220682,0,27,0.708,0.678,-9.111,0.105,0.00586,0,0.133,0.527,145.969,3,2012-02-03
2zE4tsjS5A3WnmNmrQ6gpC,(Remember The Days Of The) Old Schoolyard,https://i.scdn.co/image/ab67616d0000b2731f55fd7183357f0096d31f4a,,164826,0,0,0.652,0.61,-8.658,0.0636,0.45,0,0.576,0.612,145.964,10,1977
2Aab1S0t1HRbvF1BKaw2xj,Boys Like You,https://i.scdn.co/image/ab67616d0000b27341b839ed5f8427a34bf4f4bc,https://p.scdn.co/mp3-preview/48b93b66cd1fd240fafbe077d37225f3029ce4c6?cid=9950ac751e34487dbbe027c4fd7f8e99,220626,1,55,0.712,0.688,-8.567,0.117,0.00437,0,0.134,0.515,145.964,3,2011-09-30
7EAkSLnvMY2MiW1piLuSAC,One Of The Boys,https://i.scdn.co/image/ab67616d0000b27331cc26681b0164332fa26634,https://p.scdn.co/mp3-preview/dec04cb8e125803dd89be17db4f5379b8c885b1d?cid=9950ac751e34487dbbe027c4fd7f8e99,247653,0,28,0.564,0.91,-2.393,0.0522,0.00201,0.00000208,0.0818,0.675,145.953,5,2008
2Ltm1hcqVSFt0Nh4dD7Z5R,And We Danced,https://i.scdn.co/image/ab67616d0000b273e8924ee9fcbbdf8d48569944,https://p.scdn.co/mp3-preview/305e10826bf5cff9ff65e43ce9dea735a61e4ab3?cid=9950ac751e34487dbbe027c4fd7f8e99,228106,0,34,0.582,0.868,-11.566,0.0354,0.24,0,0.262,0.767,145.949,9,1985-07-01
21xJVN5wEbJogczYxfZhqR,Black Beatles,https://i.scdn.co/image/ab67616d0000b273191f6dcfff701a33c5a2f717,,291893,1,0,0.794,0.647,-6.232,0.0628,0.158,0,0.139,0.345,145.945,0,2016-08-12
